date,year,month,day,day_of_week,solar_mwh,temp_avg_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,precip_mm,solar_rad_allsky_mj_m2,solar_rad_clrsky_mj_m2,temp_avg_c_norm,temp_max_c_norm,temp_min_c_norm,humidity_pct_norm,wind_speed_ms_norm,precip_mm_norm,solar_rad_allsky_mj_m2_norm,solar_rad_clrsky_mj_m2_norm
2023-12-13,2023,12,13,Wednesday,93760.0,17.95,26.19,11.69,30.49,0.69,0.0,4.07,4.09,0.249911629551078,0.279294274300932,0.2484848484848484,0.2809130534526267,0.0326923076923077,0.0,0.9960181912062596,0.9958007385934956
2023-12-14,2023,12,14,Thursday,95539.99999999996,17.55,25.99,11.33,37.17,1.08,0.0,4.1,4.15,0.2357723577235773,0.2726364846870838,0.2363636363636364,0.3575361321403992,0.1076923076923077,0.0,0.9960479802994796,0.9958603025850772
2023-12-15,2023,12,15,Friday,91230.0,16.06,25.11,9.05,42.59,1.78,0.0,3.94,3.96,0.1831035701661364,0.2433422103861516,0.1595959595959596,0.419706354668502,0.2423076923076923,0.0,0.9958891051356396,0.9956716832784022
2023-12-16,2023,12,16,Saturday,90670.00000000004,16.7,24.9,9.38,41.62,0.99,0.0,3.76,3.78,0.2057264050901378,0.236351531291611,0.1707070707070707,0.4085799495297086,0.0903846153846154,0.0,0.9957103705763196,0.9954929913036572
2023-12-17,2023,12,17,Sunday,92280.0,16.57,25.54,9.55,40.81,1.21,0.0,3.89,3.96,0.2011311417462,0.2576564580559253,0.1764309764309765,0.3992888277127782,0.1326923076923077,0.0,0.9958394566469396,0.9956716832784022
2023-12-18,2023,12,18,Monday,92310.0,15.36,24.3,8.76,37.49,1.94,0.0,3.98,4.02,0.1583598444680098,0.2163781624500664,0.1498316498316498,0.3612066987841248,0.2730769230769231,0.0,0.9959288239265996,0.9957312472699836
2023-12-19,2023,12,19,Tuesday,87660.0,14.94,24.69,7.6,34.17,1.61,0.0,4.32,4.37,0.1435136090491339,0.2293608521970705,0.1107744107744108,0.3231245698554715,0.2096153846153846,0.0,0.9962664336497596,0.9960787038875432
2023-12-20,2023,12,20,Wednesday,89830.0,15.94,23.39,9.34,27.38,1.03,0.0,3.01,4.31,0.1788617886178861,0.1860852197070571,0.1693602693602693,0.2452397338839183,0.0980769230769231,0.0,0.9949656432458196,0.9960191398959616
2023-12-21,2023,12,21,Thursday,98710.0,16.36,24.99,9.8,25.75,1.26,0.0,3.6,4.21,0.193708024036762,0.2393475366178427,0.1848484848484848,0.2265427850424409,0.1423076923076923,0.0,0.9955514954124796,0.9959198665766588
2023-12-22,2023,12,22,Friday,85870.00000000001,17.17,26.21,9.55,22.82,1.33,0.0,3.98,4.2,0.2223400494874514,0.2799600532623169,0.1764309764309765,0.1929341592108281,0.1557692307692308,0.0,0.9959288239265996,0.9959099392447286
2023-12-23,2023,12,23,Saturday,95440.0,16.34,25.77,10.0,32.38,1.57,0.0,3.83,3.89,0.193001060445387,0.2653129161118508,0.1915824915824916,0.3025923376921313,0.2019230769230769,0.0,0.9957798784604996,0.9956021919548902
2023-12-24,2023,12,24,Sunday,77770.00000000001,15.54,24.83,8.48,45.52,1.6,0.0,3.0,3.19,0.1647225167903853,0.2340213049267642,0.1404040404040404,0.4533149805001147,0.2076923076923077,0.0,0.9949557135480795,0.9949072787197714
2023-12-25,2023,12,25,Monday,84679.99999999999,17.97,26.86,11.73,40.22,0.7,0.0,2.92,3.17,0.2506185931424531,0.3015978695073235,0.2498316498316498,0.392521220463409,0.0346153846153846,0.0,0.9948762759661596,0.9948874240559108
2023-12-26,2023,12,26,Tuesday,86080.00000000003,17.94,26.58,11.8,36.12,1.1,0.0,3.31,3.41,0.2495581477553906,0.2922769640479359,0.2521885521885522,0.3454920853406744,0.1115384615384615,0.0,0.9952635341780196,0.9951256800222372
2023-12-27,2023,12,27,Wednesday,87070.00000000001,16.82,26.19,9.93,41.21,1.35,0.0,3.53,3.56,0.2099681866383881,0.279294274300932,0.1892255892255892,0.4038770360174352,0.1596153846153846,0.0,0.9954819875282996,0.9952745900011912
2023-12-28,2023,12,28,Thursday,97900.0,15.51,25.26,8.37,43.06,1.23,0.0,3.68,3.68,0.1636620714033226,0.2483355525965379,0.1367003367003367,0.425097499426474,0.1365384615384615,0.0,0.9956309329943996,0.9953937179843546
2023-12-29,2023,12,29,Friday,92670.0,14.36,23.89,7.99,47.87,1.8,0.0,3.07,3.61,0.1230116648992576,0.2027296937416777,0.1239057239057239,0.4802707042899747,0.2461538461538462,0.0,0.9950252214322596,0.9953242266608426
2023-12-30,2023,12,30,Saturday,79410.0,14.52,22.25,9.01,46.28,1.56,0.0,2.35,3.04,0.128667373630258,0.1481358189081224,0.1582491582491582,0.462032576278963,0.2,0.0,0.9943102831949796,0.9947583687408172
2023-12-31,2023,12,31,Sunday,86160.0,14.03,21.84,8.89,46.49,1.54,0.0,2.39,2.48,0.1113467656415694,0.1344873501997335,0.1542087542087542,0.4644413856389081,0.1961538461538461,0.0,0.9943500019859396,0.994202438152722
2024-01-01,2024,1,1,Monday,73679.99999999999,13.8,22.98,6.56,44.23,1.19,0.0,2.34,2.79,0.1032166843407564,0.1724367509986684,0.0757575757575757,0.4385180087175958,0.1288461538461539,0.0,0.9943003534972394,0.9945101854425604
2024-01-02,2024,1,2,Tuesday,81330.0,13.39,22.68,6.09,44.37,1.37,0.0,1.16,2.39,0.088723930717568,0.162450066577896,0.0599326599326599,0.4401238816242257,0.1634615384615385,0.0,0.9931286491639192,0.9941130921653496
