date,temp_avg_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,precip_mm,solar_rad_allsky_mj_m2,solar_rad_clrsky_mj_m2,temp_avg_c_norm,temp_max_c_norm,temp_min_c_norm,humidity_pct_norm,wind_speed_ms_norm,precip_mm_norm,solar_rad_allsky_mj_m2_norm,solar_rad_clrsky_mj_m2_norm
2024-05-04,33.58,42.14,24.99,15.96,2.85,0.0,5.67,7.66,0.8024036762106751,0.8102529960053262,0.6962962962962963,0.1142463867859601,0.4480769230769232,0.0,0.9976069428446597,0.9993447960926022
2024-05-05,33.7,41.89,24.99,22.68,3.33,0.0,7.44,7.68,0.8066454577589256,0.8019307589880158,0.6962962962962963,0.19132828630419824,0.5403846153846156,0.0,0.9993644993446399,0.9993646507564627
2024-05-06,34.34,41.77,26.33,20.41,2.27,0.0,7.06,7.71,0.829268292682927,0.797936085219707,0.7414141414141414,0.16529020417526957,0.3365384615384616,0.0,0.9989871708305198,0.9993944327522535
2024-05-07,36.1,43.28,29.33,18.65,1.4,0.0,6.9,7.59,0.8914810887239307,0.8482023968042609,0.8424242424242424,0.1451020876347786,0.16923076923076924,0.0,0.9988282956666799,0.9992753047690903
2024-05-08,35.92,43.99,27.89,15.97,2.31,0.0,7.19,7.69,0.8851184164015554,0.8718375499334221,0.793939393939394,0.11436109199357651,0.3442307692307693,0.0,0.9991162569011398,0.999374578088393
2024-05-09,34.85,43.45,25.72,19.88,2.54,0.64,7.14,7.74,0.8472958642629905,0.8538615179760318,0.7208754208754209,0.15921082817159898,0.3884615384615385,0.006169269327164065,0.9990666084124398,0.9994242147480443
2024-05-10,35.98,43.75,26.96,21.99,2.33,0.46,7.37,7.61,0.8872393071756804,0.8638482023968042,0.7626262626262627,0.1834136269786648,0.3480769230769232,0.004434162328899171,0.9992949914604599,0.9992951594329509
2024-05-11,35.7,42.57,28.87,21.14,2.13,0.2,6.73,7.33,0.8773418168964299,0.8245672436750997,0.826936026936027,0.17366368433126866,0.3096153846153846,0.0019278966647387702,0.9986594908050997,0.9990171941389032
2024-05-12,33.8,40.89,27.97,31.22,2.69,2.36,7.45,7.62,0.8101802757158006,0.7686418109187749,0.7966329966329966,0.28928653360862583,0.4173076923076923,0.022749180643917486,0.9993744290423798,0.9993050867648811
2024-05-13,34.53,41.79,26.57,23.19,2.21,0.0,6.69,7.57,0.8359844468009899,0.7986018641810917,0.7494949494949495,0.19717825189263594,0.32500000000000007,0.0,0.9986197720141398,0.9992554501052298
2024-05-14,35.06,41.62,28.83,17.95,2.51,0.06,6.44,7.4,0.8547189819724285,0.7929427430093208,0.8255892255892255,0.13707272310162882,0.3826923076923077,0.000578368999421631,0.9983715295706398,0.9990866854624152
